sys	r	g	b	name
bang-v2	66	89	89	356 Dark grayish cyan
bang-v2	39	89	89	357 Dark cyan
bang-v2	0	89	89	358 Deep cyan
bang-v2	26	29	29	359 Cyanish black
bang-v2	17	29	29	360 Very dark cyan
bang-v2	0	29	29	361 Very deep cyan
bang-v2	194	247	255	362 Pale arctic blue
bang-v2	158	243	255	363 Very light arctic blue
bang-v2	101	236	255	364 Light brilliant arctic blue
bang-v2	0	223	255	365 Luminous vivid arctic blue
bang-v2	139	220	231	366 Light arctic blue
bang-v2	81	213	231	367 Brilliant arctic blue
bang-v2	0	202	231	368 Vivid arctic blue
bang-v2	74	156	168	369 Moderate arctic blue
bang-v2	0	147	168	370 Strong arctic blue
bang-v2	39	83	89	371 Dark arctic blue
bang-v2	0	78	89	372 Deep arctic blue
bang-v2	226	248	255	373 Very pale cerulean
bang-v2	194	240	255	374 Pale cerulean
bang-v2	158	231	255	375 Very light cerulean
bang-v2	101	216	255	376 Light brilliant cerulean
bang-v2	0	191	255	377 Luminous vivid cerulean
bang-v2	184	220	231	378 Pale, light grayish cerulean
bang-v2	139	208	231	379 Light cerulean
bang-v2	81	194	231	380 Brilliant cerulean
bang-v2	0	174	231	381 Vivid cerulean
bang-v2	125	158	168	382 Grayish cerulean
bang-v2	74	145	168	383 Moderate cerulean
bang-v2	0	126	168	384 Strong cerulean
bang-v2	66	84	89	385 Dark grayish cerulean
bang-v2	39	77	89	386 Dark cerulean
bang-v2	0	67	89	387 Deep cerulean
bang-v2	194	232	255	388 Pale cornflower blue
bang-v2	158	219	255	389 Very light cornflower blue
bang-v2	101	197	255	390 Light brilliant cornflower blue
bang-v2	0	159	255	391 Luminous vivid cornflower blue
bang-v2	139	197	231	392 Light cornflower blue
bang-v2	81	175	231	393 Brilliant cornflower blue
bang-v2	0	145	231	394 Vivid cornflower blue
bang-v2	74	133	168	395 Moderate cornflower blue
bang-v2	0	105	168	396 Strong cornflower blue
bang-v2	39	70	89	397 Dark cornflower blue
bang-v2	0	56	89	398 Deep cornflower blue
bang-v2	226	240	255	399 Very pale azure
bang-v2	194	224	255	400 Pale azure
bang-v2	158	207	255	401 Very light azure
bang-v2	101	178	255	402 Light brilliant azure
bang-v2	0	128	255	403 Luminous vivid azure
bang-v2	184	208	231	404 Pale, light grayish azure
bang-v2	139	185	231	405 Light azure
bang-v2	81	156	231	406 Brilliant azure
bang-v2	0	116	231	407 Vivid azure
bang-v2	125	147	168	408 Grayish azure
bang-v2	74	121	168	409 Moderate azure
bang-v2	0	84	168	410 Strong azure
bang-v2	66	78	89	411 Dark grayish azure
bang-v2	39	64	89	412 Dark azure
bang-v2	0	45	89	413 Deep azure
bang-v2	17	23	29	414 Very dark azure
bang-v2	0	14	29	415 Very deep azure
bang-v2	194	217	255	416 Pale cobalt blue
bang-v2	158	194	255	417 Very light cobalt blue
bang-v2	101	159	255	418 Light brilliant cobalt blue
bang-v2	0	96	255	419 Luminous vivid cobalt blue
bang-v2	139	174	231	420 Light cobalt blue
bang-v2	81	137	231	421 Brilliant cobalt blue
bang-v2	0	87	231	422 Vivid cobalt blue
bang-v2	74	109	168	423 Moderate cobalt blue
bang-v2	0	63	168	424 Strong cobalt blue
bang-v2	39	58	89	425 Dark cobalt blue
bang-v2	0	33	89	426 Deep cobalt blue
bang-v2	226	233	255	427 Very pale sapphire blue
bang-v2	194	209	255	428 Pale sapphire blue
bang-v2	158	182	255	429 Very light sapphire blue
bang-v2	101	139	255	430 Light brilliant sapphire blue
bang-v2	0	64	255	431 Luminous vivid sapphire blue
bang-v2	184	196	231	432 Pale, light grayish sapphire blue
bang-v2	139	162	231	433 Light sapphire blue
bang-v2	81	119	231	434 Brilliant sapphire blue
bang-v2	0	58	231	435 Vivid sapphire blue
bang-v2	125	136	168	436 Grayish sapphire blue
bang-v2	74	97	168	437 Moderate sapphire blue
bang-v2	0	42	168	438 Strong sapphire blue
bang-v2	66	72	89	439 Dark grayish sapphire blue
bang-v2	39	52	89	440 Dark sapphire blue
bang-v2	0	22	89	441 Deep sapphire blue
bang-v2	194	201	255	442 Pale phthalo blue
bang-v2	158	170	255	443 Very light phthalo blue
bang-v2	101	120	255	444 Light brilliant phthalo blue
bang-v2	0	32	255	445 Luminous vivid phthalo blue
bang-v2	139	150	231	446 Light phthalo blue
bang-v2	81	100	231	447 Brilliant phthalo blue
bang-v2	0	29	231	448 Vivid phthalo blue
